"subject","object","probability"
"hot air","meaninglessness","1"
"hart's-tongue fern","strap fern","1"
"caramel brown","brown","1"
"cold snap","spell","1"
"associate","co-occurrence","1"
"marsupial mouse","dasyurid marsupial","1"
"fractiousness","intractability","1"
"genus naemorhedus","mammal genus","1"
"phytologist","biologist","1"
"dish towel","towel","1"
"ductus deferens","canal","1"
"projection screen","surface","1"
"reek","odor","1"
"guerrilla","warrior","1"
"hydremia","blood disorder","1"
"risk","venture","1"
"hualpai","hokan","1"
"dhegiha","sioux","1"
"rankine scale","temperature scale","1"
"service ceiling","ceiling","1"
"marbleization","texture","1"
"hopper","orthopteron","1"
"oil tycoon","top executive","1"
"fortran compiler","compiling program","1"
"tea-like drink","potable","1"
"disposal","powerfulness","1"
"douroucouli","platyrrhine","1"
"monarda didyma","wild bergamot","1"
"tabular array","array","1"
"heptagon","polygon","1"
"forthrightness","honestness","1"
"retarded depression","depressive disorder","1"
"proboscidea arenaria","herbaceous plant","1"
"tule tree","mexican swamp cypress","1"
"persona grata","diplomatist","1"
"bookstore","shop","1"
"straightness","curvature","1"
"batik","textile","1"
"editorship","place","1"
"puccoon","herbaceous plant","1"
"band","slip","1"
"chickadee","titmouse","1"
"capitate","wrist bone","1"
"hydrodynamics","hydraulics","1"
"fulmar","petrel","1"
"papillary tumour","benign tumor","1"
"metre","poetic rhythm","1"
"fruit tree","angiospermous tree","1"
"rise","outgrowth","1"
"welsh terrier","wire-haired terrier","1"
"chemical analysis","analysis","1"
"cobalamin","b vitamin","1"
"paintball","outdoor game","1"
"lustre","effulgence","1"
"self-service","service","1"
"puck","disk","1"
"urinator","individual","1"
"affray","fight","1"
"blackamoor","mortal","1"
"class asteroidea","class","1"
"chokehold","hold","1"
"climbing onion","herb","1"
"wire wool","abradant","1"
"connexion","change of integrity","1"
"borsht circuit","resort area","1"
"lerot","dormouse","1"
"inaudibility","physical property","1"
"jew","mortal","1"
"chordate","creature","1"
"bludgeoner","attacker","1"
"sium sisarum","bog plant","1"
"n","chemical element","1"
"star tulip","mariposa tulip","1"
"trichomonad","flagellated protozoan","1"
"bank guard","watcher","1"
"sheath","protective cover","1"
"ontogeny","biological process","1"
"amobarbital","truth drug","1"
"node","data processor","1"
"hadj","pilgrim's journey","1"
"imbalance","disequilibrium","1"
"percussion","auscultation","1"
"neonate","babe","1"
"blaze","fire","1"
"sea wrack","aquatic plant","1"
"enrolment","entering","1"
"hypsometer","altimeter","1"
"amazon ant","slave-making ant","1"
"busker","entertainer","1"
"gentlemen's agreement","understanding","1"
"sour grapes","depreciation","1"
"binary compound","compound","1"
"overuse","exploitation","1"
"extirpation","surgery","1"
"pithecellobium","rosid dicot genus","1"
"feel","ambience","1"
"enflurane","diethyl ether","1"
"yardmaster","railroad man","1"
"four-flusher","beguiler","1"
"anglomania","enthusiasm","1"
"aggravated assault","assault","1"
"madrigalist","singer","1"
"dustbin","bin","1"
"osteocyte","bone cell","1"
"klondike","patience","1"
"horny layer","stratum","1"
"hyperbetalipoproteinemia","genetic abnormality","1"
"eudaemonia","successfulness","1"
"gush","reflexion","1"
"bitter almond oil","essential oil","1"
"out-of-the-box thinking","thinking","1"
"ensemble","aggregation","1"
"evening shift","work shift","1"
"family alcidae","bird family","1"
"medicare payment","cheque","1"
"boundedness","quality","1"
"schistosome","trematode","1"
"wood tick","hard tick","1"
"mastoid bone","appendage","1"
"cavetto","moulding","1"
"uriniferous tubule","tubule","1"
"pinus glabra","pine tree","1"
"seedless raisin","raisin","1"
"fast buck","net profit","1"
"stage whisper","susurration","1"
"light","visual signal","1"
"economic rent","takings","1"
"repentance","compunction","1"
"palette","range","1"
"cherub","angel","1"
"nerita peloronta","neritid gastropod","1"
"perilymph","body fluid","1"
"point","outlet","1"
"solanopteris bifrons","fern","1"
"adansonia gregorii","flowering tree","1"
"ambassador","representative","1"
"derivation","linguistic process","1"
"marumi","kumquat","1"
"musical composition","music","1"
"archaeopteryx lithographica","bird","1"
"co-occurrence","occurrent","1"
"zalcitabine","antiviral","1"
"electron volt","work unit","1"
"yellowbird","wood warbler","1"
"maturity date","day of the month","1"
"first law of thermodynamics","conservation","1"
"accruement","increase","1"
"post-office box","compartment","1"
"defense","aggregation","1"
"king","challenger","1"
"duplex house","house","1"
"peddler","trafficker","1"
"porthole","window","1"
"electric shock","torturing","1"
"egyptian","afroasiatic","1"
"airplane pilot","flyer","1"
"pannier","hoop","1"
"epinephrin","hormone","1"
"sirloin steak","beefsteak","1"
"lying under oath","infringement","1"
"speech therapist","healer","1"
"eviction","due process","1"
"geastrum coronatum","earthstar","1"
"worshipper","admirer","1"
"analogue computer","computing machine","1"
"visage","face","1"
"hepadnavirus","animal virus","1"
"true pine","coniferous tree","1"
"criticality","crossroads","1"
"nutter","eccentric","1"
"scpo","p.o.","1"
"russian dandelion","blowball","1"
"say","chance","1"
"fuller","working man","1"
"riverside","bank","1"
"contingent probability","probability","1"
"ciliated protozoan","protozoon","1"
"highflyer","achiever","1"
"pseudowintera","magnoliid dicot genus","1"
"vaginal birth","birthing","1"
"franc","monetary unit","1"
"rifleman","crack shot","1"
"transmittance","coefficient","1"
"brass","memorial","1"
"genus deutzia","rosid dicot genus","1"
"companionway","stairway","1"
"employ","state","1"
"concatenation","connexion","1"
"overlook","spot","1"
"virgilia oroboides","tree","1"
"smart set","elite group","1"
"birling","whirl","1"
"street cleaner","cleaner","1"
"force","putout","1"
"browser","watcher","1"
"onionskin","typing paper","1"
"dish","aliment","1"
"addiction","physiological state","1"
"pinus cembra","pine tree","1"
"groundbreaker","conceiver","1"
"cockspur thorn","hawthorn","1"
"contact","touch","1"
"powder","medicinal drug","1"
"ethyl","alkyl radical","1"
"charcoal","greyness","1"
"adjusting entry","entry","1"
"house cat","domesticated animal","1"
"radical","measure","1"
"throughput","turnout","1"
"phrase","dancing","1"
"indenture","incurvation","1"
"adobe lily","fritillary","1"
"ticking","cloth","1"
"light show","showing","1"
"human face","external body part","1"
"bigamy","matrimony","1"
"ferromagnetism","magnetic force","1"
"syncretism","unification","1"
"secondary syphilis","lues","1"
"caressing","foreplay","1"
"genus erolia","bird genus","1"
"mid-january","period of time","1"
"alcohol-in-glass thermometer","thermometer","1"
"steam locomotive","railway locomotive","1"
"cold","respiratory disease","1"
"jorum","bowl","1"
"elsholtzia","herbaceous plant","1"
"peanut","fry","1"
"excitableness","emotionality","1"
"redcap","mp","1"
"airman","skilled worker","1"
"prospect","someone","1"
"push-button radio","wireless","1"
"comb","tool","1"
"safar","islamic calendar month","1"
"oleandra neriiformis","fern","1"
"ringer","signaller","1"
"lounge","room","1"
"spoiler","aerofoil","1"
"hypercatalectic","line of verse","1"
"order isoetales","plant order","1"
"atonement","redemption","1"
"voluntary","military man","1"
"wash room","toilet","1"
"gluttony","intemperance","1"
"cluster of differentiation 8","glycoprotein","1"
"gun moll","criminal","1"
"cockscomb","sheik","1"
"oenologist","specialist","1"
"camping area","site","1"
"whatsis","stuff","1"
"political program","papers","1"
"excitation","rousing","1"
"genus rhizophora","magnoliopsid genus","1"
"hair coloring","coloration","1"
"family haemodoraceae","liliopsid family","1"
"winner's circle","area","1"
"supper","social gathering","1"
"seppuku","self-annihilation","1"
"eacles imperialis","saturniid","1"
"enalapril","angiotensin-converting enzyme inhibitor","1"
"antiviral agent","medication","1"
"prepositional phrase","phrase","1"
"fogginess","atmospheric state","1"
"gravitas","mien","1"
"palestra","playing area","1"
"flintlock","muzzle loader","1"
"ghostwriter","writer","1"
"ketoacidosis","acidosis","1"
"lir","celtic deity","1"
"rafter","traveller","1"
"congressional medal of honor","laurel wreath","1"
"screen font","fount","1"
"gastric acid","digestive juice","1"
"new world flycatcher","tyrannid","1"
"conjunction","connection","1"
"amun","egyptian deity","1"
"stern chaser","naval gun","1"
"serum","humor","1"
"upsilon","letter","1"
"delta rhythm","brain wave","1"
"stigmatism","condition","1"
"modulation","delivery","1"
"hit","connexion","1"
"output routine","service routine","1"
"leviathan","monster","1"
"itraconazole","antimycotic agent","1"
"bignonia capreolata","vine","1"
"ingenue","histrion","1"
"majority opinion","judgement","1"
"administrative official","functionary","1"
"bailey","rampart","1"
"self-inductance","coefficient","1"
"romantic movement","arts","1"
"genus vicia","rosid dicot genus","1"
"butacaine sulfate","local","1"
"confidence game","rig","1"
"self-punishment","penalization","1"
"mentum","feature","1"
"genus schomburgkia","monocot genus","1"
"common zebra","zebra","1"
"cohesion","connectedness","1"
"proboscidea arenaria","herb","1"
"fechner's law","law","1"
"maker","business","1"
"favor","benignity","1"
"melodrama","comedy","1"
"article of clothing","covering","1"
"military capability","capableness","1"
"seidlitz powders","physic","1"
"thujopsis","gymnosperm genus","1"
"eyesight","sight","1"
"whispering bells","herbaceous plant","1"
"tension headache","head ache","1"
"carioca","brazilian","1"
"pellucidness","transparency","1"
"cornhusking","uncovering","1"
"woollen","material","1"
"prickly ash","tree","1"
"film noir","moving-picture show","1"
"share","stock","1"
"international court of justice","judicature","1"
"phacelia tanacetifolia","scorpionweed","1"
"nd","metal","1"
"angiogram","roentgenogram","1"
"phenoplast","synthetic resin","1"
"schizothymia","mental disorder","1"
"digitization","conversion","1"
"priory","religious residence","1"
"peridinium","protoctist genus","1"
"federal department","government department","1"
"recoverer","somebody","1"
"alewife","clupeid fish","1"
"castle in the air","dream","1"
"nudism","practice","1"
"scintillation","brightness","1"
"individualism","school of thought","1"
"corner","intersection","1"
"apocynum","dicot genus","1"
"employable","worker","1"
"supremo","big enchilada","1"
"okra plant","herbaceous plant","1"
"champion","protector","1"
"matchet","knife","1"
"duke","lord","1"
"cigaret","roll of tobacco","1"
"versification","adaptation","1"
"washing day","day","1"
"style","discernment","1"
"thz","rate","1"
"kentucky wonder bean","green bean","1"
"bog rein orchid","rein orchid","1"
"tomorrow","twenty-four hour period","1"
"hydra","mythical monster","1"
"executive office of the president","branch","1"
"row of bricks","course","1"
"twilight vision","visual modality","1"
"chestnut","equus caballus","1"
"diarist","writer","1"
"septectomy","ablation","1"
"secretaire","desk","1"
"omnivore","eater","1"
"dyer's mignonette","reseda","1"
"atmometer","measuring system","1"
"crusade","expedition","1"
"chon","south korean monetary unit","1"
"edibleness","property","1"
"turnout","product","1"
"shield of david","emblem","1"
"ward","individual","1"
"saffron","flavourer","1"
"pediamycin","antibiotic","1"
"american hackberry","nettle tree","1"
"vertu","perceptiveness","1"
"west nile virus","flavivirus","1"
"tachinidae","arthropod family","1"
"park","sports stadium","1"
"chlorous acid","acid","1"
"dresser","help","1"
"confluence","coming together","1"
"tripod","rack","1"
"water clock","clock","1"
"rebuke","unfavorable judgment","1"
"kamia","hoka","1"
"genus lobipes","bird genus","1"
"walk of life","vocation","1"
"radio emission","electromagnetic radiation","1"
"family percidae","fish family","1"
"negotiable instrument","official document","1"
"intifada","rising","1"
"chairmanship","berth","1"
"operating budget","budget","1"
"screw","inclined plane","1"
"premature ventricular contraction","cardiac arrhythmia","1"
"reclining","motility","1"
"deformation","impairment","1"
"nipponese","asiatic","1"
"rheum palmatum","rhubarb","1"
"deployment","preparation","1"
"dextrorotation","rotation","1"
"signalization","indication","1"
"fluorine","chemical element","1"
"shooting iron","firearm","1"
"fagot","bundle","1"
"record","achievement","1"
"marquess","peer","1"
"vouge","pike","1"
"jointworm","larva","1"
"hallstand","piece of furniture","1"
"vocal","piece of music","1"
"sunni","sect","1"
"chicken casserole","casserole","1"
"agony","suffering","1"
"boatyard","property","1"
"fifth wheel","bearing","1"
"medical diagnosis","diagnosing","1"
"elapid","snake","1"
"branchiopodan","crustacean","1"
"essayer","mortal","1"
"plantar reflex","reflex","1"
"firing","shooting","1"
"counselorship","post","1"
"blank cheque","bank check","1"
"liberty ship","cargo vessel","1"
"possum haw","holly","1"
"false alumroot","wild flower","1"
"gonorrhoea","std","1"
"age norm","average","1"
"coalition","jointure","1"
"daftness","insanity","1"
"demurrage","charge","1"
"right triangle","trigon","1"
"gasp","inspiration","1"
"asclepia meadii","milkweed","1"
"natural process","process","1"
"yield","production","1"
"phlomis","suffrutex","1"
"judgement","instrument","1"
"venipuncture","puncture","1"
"haematoma","intumescency","1"
"cypripedium reginae","lady-slipper","1"
"vinegar fly","pomace fly","1"
"ordinary","jurist","1"
"repast","sustenance","1"
"tranquillity","calm","1"
"tourney","competition","1"
"burying ground","land site","1"
"cyanocobalamin","b","1"
"funnies","sketch","1"
"inferior thalamostriate vein","thalamostriate vein","1"
"genus mandevilla","dicot genus","1"
"myanmar monetary unit","monetary unit","1"
"solar gravity","gravity","1"
"cinchona pubescens","cinchona","1"
"dtic","office","1"
"welfare","good","1"
"labyrinthine artery","artery","1"
"crystallization","mental synthesis","1"
"dander","scale","1"
"infiltrator","intruder","1"
"weather bureau","administrative unit","1"
"rau-sed","antihypertensive drug","1"
"saktism","hindooism","1"
"sprawler","somebody","1"
"spinning jenny","spinning machine","1"
"admirer","advocate","1"
"growth rate","rate","1"
"lysimachia","dicot genus","1"
"gadaba","dravidian","1"
"castilleja sulphurea","painted cup","1"
"homeroom","schoolroom","1"
"penetration","ingress","1"
"smile","facial expression","1"
"keycard","identity card","1"
"news organization","agency","1"
"circumvolution","rotary motion","1"
"lagger","layabout","1"
"crambe maritima","herb","1"
"genus xenicus","bird genus","1"
"platylobium","rosid dicot genus","1"
"shtikl","schtick","1"
"ateles","mammal genus","1"
"deposit","accumulation","1"
"tomcat","house cat","1"
"screen saver","figure","1"
"crow's feet","crease","1"
"tone arm","mechanical device","1"
"country doctor","gp","1"
"anteater","eutherian","1"
"vapour","suspension","1"
"mania","irrational motive","1"
"pasang","antelope","1"
"iva xanthifolia","marsh elder","1"
"poacher","cooking utensil","1"
"flop","descent","1"
"calocarpum zapota","tree","1"
"retirement account","program","1"
"stem","tube","1"
"leak","revelation","1"
"obturator","prosthesis","1"
"pinpoint","dapple","1"
"snap","cooky","1"
"piquantness","spice","1"
"oxyuranus scutellatus","elapid snake","1"
"fakir","moslem","1"
"lottery","gambling game","1"
"gallery","corridor","1"
"town house","house","1"
"kinetic theory of heat","kinetic theory","1"
"eyrie","bird nest","1"
"snatcher","outlaw","1"
"disforestation","denudation","1"
"classified stock","common stock","1"
"serve","tennis stroke","1"
"genus heterotheca","asterid dicot genus","1"
"vampire bat","carnivorous bat","1"
"psocopterous insect","insect","1"
"intervertebral disc","saucer","1"
"wheatworm","nematode worm","1"
"coastal plain","ground","1"
"motorcar","motor vehicle","1"
"mohammedan calendar","lunar calendar","1"
"citellus richardsoni","gopher","1"
"allhallowtide","season","1"
"distinguished service cross","medallion","1"
"benzoyl group","group","1"
"child neglect","abuse","1"
"family liparididae","fish family","1"
"tack hammer","hammer","1"
"chestnut","brownness","1"
"tax hike","increase","1"
"pentagram","star","1"
"handwork","work","1"
"mortuary","building","1"
"juniper bush","bush","1"
"lordship","say-so","1"
"adjunct","nonessential","1"
"alpha particle","subatomic particle","1"
"tastefulness","elegance","1"
"green card","positive identification","1"
"insubstantiality","immateriality","1"
"trivet","pedestal","1"
"buffalo nut","fruit","1"
"sphere","geographical area","1"
"secretary of labor","secretary","1"
"yemeni rial","yemeni monetary unit","1"
"eaglet","bird of jove","1"
"common white dogwood","dogwood tree","1"
"truckler","crawler","1"
"ecuadoran monetary unit","monetary unit","1"
"stifling","prevention","1"
"bootlicker","lackey","1"
"red silver fir","silver fir","1"
"callisthenics","physical exercise","1"
"hallah","breadstuff","1"
"casino","gaming house","1"
"apium graveolens dulce","herb","1"
"bank card","charge card","1"
"prude","unpleasant person","1"
"newspaper headline","head","1"
"long-eared owl","bird of minerva","1"
"holding yard","pen","1"
"fullness","status","1"
"narcotics agent","lawman","1"
"slanginess","familiarity","1"
"pepperoni","sausage","1"
"deduction","write-down","1"
"superior cerebellar artery","arteria cerebelli","1"
"human being","hominid","1"
"followup","scrutiny","1"
"groundsel bush","shrub","1"
"red poll","oxen","1"
"enuki","semitic deity","1"
"pit of the stomach","pit","1"
"vista","visual percept","1"
"deer hunting","hunting","1"
"psychological science","science","1"
"machmeter","speedometer","1"
"soap bubble","bubble","1"
"neuroleptic","antianxiety agent","1"
"genus menispermum","magnoliid dicot genus","1"
"cephalopod mollusk","shellfish","1"
"clot","lump","1"
"slander","calumny","1"
"espousal","marriage","1"
"road","way","1"
"anemometry","measuring","1"
"tribute album","concept album","1"
"school day","period of time","1"
"biter","someone","1"
"nut","geek","1"
"mutton chop","facial hair","1"
"pellitory","herb","1"
"hero","sandwich","1"
"maraschino cherry","sour cherry","1"
"bobsled","sleigh","1"
"hyperaldosteronism","glandular disorder","1"
"breach of trust with fraudulent intent","larceny","1"
"calypso","sea nymph","1"
"greater kudu","koodoo","1"
"pussy willow","willow","1"
"pariah","unfortunate person","1"
"incus","auditory ossicle","1"
"whirl","endeavour","1"
"life expectancy","expectancy","1"
"atomic number 70","metal","1"
"remise","hackney coach","1"
"carbonate","salt","1"
"harvest moon","full","1"
"collinsia verna","wild flower","1"
"pickeringia","rosid dicot genus","1"
"tam","cap","1"
"flinch","start","1"
"voucher","written document","1"
"eczema","skin disease","1"
"quack","doctor","1"
"ironware","instrumentation","1"
"lithospermum caroliniense","herbaceous plant","1"
"law enforcement agency","bureau","1"
"monarchy","autarchy","1"
"submersion","wetting","1"
"wickedness","evildoing","1"
"fenugreek","herbaceous plant","1"
"intravenous pyelography","pyelography","1"
"hippodrome","arena","1"
"blackamoor","person of color","1"
"signified","meaning","1"
"calostomataceae","fungus family","1"
"ballgame","situation","1"
"stinking elder","elderberry bush","1"
"vitamin m","b-complex vitamin","1"
"sisterhood","family relationship","1"
"cordon","insignia","1"
"passenger train","railroad train","1"
"justice of the peace","magistrate","1"
"calculator","expert","1"
"tomato plant","herb","1"
"cypripedium fasciculatum","slipper orchid","1"
"scattering","shower","1"
"plains lemon monarda","wild bergamot","1"
"string bass","string","1"
"psychotic","sufferer","1"
"birth trauma","hurt","1"
"festuca elatior","grass","1"
"indiscretion","misbehaviour","1"
"redemption","delivery","1"
"blubberer","weeper","1"
"uncovering","human activity","1"
"mellaril","major tranquilizer","1"
"scorer","lumberjack","1"
"licentiousness","intemperateness","1"
"lymph","humor","1"
"duckling","duck","1"
"oort cloud","aggregation","1"
"confederacy","agreement","1"
"holding","possession","1"
"thorazine","antipsychotic drug","1"
"stand","botany","1"
"genus nipa","liliopsid genus","1"
"traveler's check","traveller's letter of credit","1"
"sour","taste sensation","1"
"flame fish","cardinalfish","1"
"social reformer","disputant","1"
"legionary ant","ant","1"
"security","precaution","1"
"cambric","material","1"
"toothbrush","brush","1"
"salt-rising bread","staff of life","1"
"war","cause","1"
"shirting","material","1"
"genus makaira","fish genus","1"
"tenpounder","tarpon","1"
"cell","animate thing","1"
"general store","outlet","1"
"automotive engineering","engineering","1"
"chafe","anger","1"
"principle of superposition","rule","1"
"pointillist","painter","1"
"cocktail lounge","barroom","1"
"polity","organization","1"
"privacy","reclusiveness","1"
"monogenic disease","genetic disorder","1"
"multistage","period","1"
"anglophile","champion","1"
"time value","duration","1"
"sea trout","brown trout","1"
"side effect","issue","1"
"golden groundsel","herbaceous plant","1"
"brio","activeness","1"
"partisan","advocate","1"
"genus gazania","asterid dicot genus","1"
"glockenspiel","percussive instrument","1"
"horse breeding","breeding","1"
"haliotidae","mollusk family","1"
"real number","imaginary","1"
"clog","preventative","1"
"parasympathetic nervous system","nervous system","1"
"mogen david","hexagram","1"
"poll taker","asker","1"
"detonating fuse","priming","1"
"woodcraft","workmanship","1"
"lennoaceae","dilleniid dicot family","1"
"peyer's patch","lymph node","1"
"web","trap","1"
"lull","break","1"
"cashier","somebody","1"
"loan shark","lender","1"
"hardness","insensitiveness","1"
"tom","felis catus","1"
"unesco","united nations agency","1"
"debacle","deluge","1"
"cadaverine","ptomain","1"
"glandulae cervicales uteri","exocrine","1"
"kidnaper","captor","1"
"tinnitus","symptom","1"
"tanacetum ptarmiciflorum","composite plant","1"
"government income","income","1"
"systems program","program","1"
"tongueless frog","batrachian","1"
"pedilanthus","rosid dicot genus","1"
"wardrobe","aggregation","1"
"device","pattern","1"
"hatmaker","maker","1"
"gonorhynchus","fish genus","1"
"can","plumbing fixture","1"
"ruin","decay","1"
"testis","male reproductive gland","1"
"close","subdivision","1"
"weeder","field hand","1"
"kick","motion","1"
"family cyrilliaceae","dicot","1"
"libra","somebody","1"
"family line","bloodline","1"
"intermixture","ingredient","1"
"puku","antelope","1"
"bearing","relatedness","1"
"hakim","md","1"
"deluge","deal","1"
"junk pile","garbage dump","1"
"hydrogen peroxide","oxidizing agent","1"
"twin","somebody","1"
"vegetable","produce","1"
"logwood","blackwood tree","1"
"code of conduct","pattern","1"
"bagatelle","small beer","1"
"wasp waist","waistline","1"
"charm","physical object","1"
"yoga","workout","1"
"use","activity","1"
"jig","folk dancing","1"
"vesicaria","dilleniid dicot genus","1"
"breather","respite","1"
"sixty-nine","head","1"
"polychaete","annelid","1"
"capital offense","offence","1"
"genus griselinia","rosid dicot genus","1"
"carron oil","salve","1"
"contraceptive method","birth prevention","1"
"pilgrim","settler","1"
"genus cyathea","fern genus","1"
"somatosense","sense modality","1"
"snare","trap","1"
"unhealthfulness","unwholesomeness","1"
"platform","adp system","1"
"ungracefulness","clumsiness","1"
"systemic lupus erythematosus","lupus","1"
"bay","compartment","1"
"incipiency","get-go","1"
"melting pot","environs","1"
"top brass","governing body","1"
"asker","talker","1"
"agricultural laborer","labourer","1"
"recluse","lone hand","1"
"water-lily family","magnoliid dicot family","1"
"kitty-cat","felis catus","1"
"chamber","room","1"
"maleate","ester","1"
"enormity","wickedness","1"
"citation","excerpt","1"
"genus blarina","mammal genus","1"
"prig","unpleasant person","1"
"nerve fiber","fiber","1"
"thiamine","b","1"
"mirror","portraying","1"
"valve","complex body part","1"
"postgraduate","collegian","1"
"central chimpanzee","chimpanzee","1"
"mountain devil","bush","1"
"first rudiment","bedrock","1"
"screen","surface","1"
"whinny","cry","1"
"spathe flower","flower","1"
"imaginary part","pure imaginary number","1"
"technology administration","government agency","1"
"millionairess","have","1"
"constancy","unchangeability","1"
"carboxyl group","group","1"
"petrification","fossilisation","1"
"basotho","african","1"
"fox","cheater","1"
"veronica americana","marsh plant","1"
"vermiform process","appendage","1"
"self acceptance","toleration","1"
"moderation","reduction","1"
"old bag","unpleasant woman","1"
"wear","deed","1"
"chadian franc","franc","1"
"chain","geological formation","1"
"appendectomy","cutting out","1"
"dripping","flow","1"
"mecopteran","insect","1"
"zero-coupon security","certificate","1"
"panhandle","handgrip","1"
"euphorbia caput-medusae","spurge","1"
"hypothetical imperative","precept","1"
"rose hip","fruit","1"
"scratch","imprint","1"
"elevated railway","railroad line","1"
"distorted shape","form","1"
"genus sagina","caryophylloid dicot genus","1"
"due date","date","1"
"atomic number 110","element","1"
"male orchis","orchis","1"
"playgoer","viewer","1"
"nabumetone","nonsteroidal anti-inflammatory","1"
"conservationist","meliorist","1"
"rivulus","killifish","1"
"mind's eye","imagination","1"
"white-stemmed filaree","storksbill","1"
"ulmus glabra","elm","1"
"potency","control","1"
"auspiciousness","positiveness","1"
"word-painting","description","1"
"blennioid","percoid fish","1"
"apology","representative","1"
"sympathetic nervous system","systema nervosum","1"
"threshold","esthesis","1"
"hives","rash","1"
"brain fever","meningitis","1"
"airsickness","motion sickness","1"
"order decapoda","animal order","1"
"dash","haste","1"
"counterrevolutionary","subverter","1"
"organization","disposal","1"
"redaction","authorship","1"
"ballast resistor","resistor","1"
"ionization","natural process","1"
"apple aphid","aphid","1"
"vaccinium angustifolium","blueberry","1"
"forcefulness","intensity","1"
"oesophagus","passageway","1"
"electronics company","company","1"
"quarreler","eristic","1"
"recalcitrance","intractability","1"
"caller-up","verbaliser","1"
"friesian","milch cow","1"
"stunt man","backup","1"
"focal ratio","ratio","1"
"makaira","fish genus","1"
"virginia snakeroot","aristolochia clematitis","1"
"amoebiosis","protozoal infection","1"
"terra alba","clay","1"
"finance","economic science","1"
"pension fund","monetary fund","1"
"bullion","block of metal","1"
"axillary fossa","cavum","1"
"little joe","digit","1"
"cental","avoirdupois unit","1"
"naval surface warfare center","authority","1"
"delta","alluvion","1"
"gula","deadly sin","1"
"manifestation","dissent","1"
"disease","sickness","1"
"lunette","fortification","1"
"psilocin","hallucinogen","1"
"dscdna","cdna","1"
"nooky","sexual congress","1"
"welfare state","state","1"
"substance","mental object","1"
"moving van","van","1"
"midfield","center","1"
"safety pin","pin","1"
"glucose tolerance test","diagnostic test","1"
"weimar republic","republic","1"
"mystery play","drama","1"
"tb","metal","1"
"tawny owl","bird of minerva","1"
"phrenologist","mountebank","1"
"kaki","long-legs","1"
"family mylodontidae","mammal family","1"
"callback","asking","1"
"grass fern","fern","1"
"eyecup","vessel","1"
"flyswat","implement","1"
"wind energy facility","power plant","1"
"northern pocket gopher","gopher","1"
"firmament","surface","1"
"strizostedion vitreum glaucum","stizostedion vitreum","1"
"centre","point","1"
"factorization","resolution","1"
"person","causal agency","1"
"call girl","woman of the street","1"
"adhesion contract","contract","1"
"hamito-semitic","tongue","1"
"extended time scale","time scale","1"
"extension course","course of instruction","1"
"romanesque","style of architecture","1"
"inquisition","examination","1"
"ethyl group","alkyl","1"
"animadversion","disapprobation","1"
"catchment area","geographic region","1"
"poker alumroot","alumroot","1"
"retentiveness","impermeableness","1"
"gartner's bacillus","salmonella","1"
"threat","person","1"
"swop","exchange","1"
"farewell","departure","1"
"genus phlebodium","fern genus","1"
"wanter","mortal","1"
"heterometaboly","metabolism","1"
"downstroke","stroke","1"
"quarterback","back","1"
"pea shooter","toy","1"
"computer memory","hardware","1"
"jordan almond","amygdalus communis","1"
"catering","job","1"
"versifier","writer","1"
"prefrontal leucotomy","psychosurgery","1"
"department of the interior","executive department","1"
"butterflyfish","scorpaenoid fish","1"
"pudding-face","phiz","1"
"monothelitism","unorthodoxy","1"
"lout","clumsy person","1"
"founding","beginning","1"
"attic","storey","1"
"solar eclipse","occultation","1"
"decubitus ulcer","ulcer","1"
"conservative party","party","1"
"osmunda clatonia","flowering fern","1"
"woodenness","stiffness","1"
"gujerati","indian","1"
"awareness","consciousness","1"
"marking ink","indelible ink","1"
"calendar method of birth control","natural family planning","1"
"nonaggression","foreign policy","1"
"ruff","collar","1"
"mezcal","cactus","1"
"evaporometer","measuring system","1"
"mariticide","execution","1"
"agar","culture medium","1"
"darjeeling","black tea","1"
"lepidocybium flavobrunneum","gempylid","1"
"bouchee","pastry","1"
"perforated eardrum","myringa","1"
"cheat","deceit","1"
"prophylaxis","prevention","1"
"foreign intelligence surveillance act","statute","1"
"bench","subgroup","1"
"male genital organ","genitals","1"
"sgraffito","ornamentation","1"
"marylander","american","1"
"external nasal vein","vena","1"
"clutch pedal","treadle","1"
"cannonball","projectile","1"
"mortise joint","articulatio plana","1"
"common lady's-slipper","lady-slipper","1"
"server","utensil","1"
"government-in-exile","authorities","1"
"burden of proof","duty","1"
"nasofrontal vein","vein","1"
"turkish tobacco","tobacco","1"
"chainsaw","saw","1"
"molecular biologist","biologist","1"
"hypoxic hypoxia","hypoxia","1"
"opera star","vocaliser","1"
"anecdotist","narrator","1"
"psoralea esculenta","herbaceous plant","1"
"cavum","complex body part","1"
"telepathist","magician","1"
"coliphage","phage","1"
"jet black","blackness","1"
"anti-drug law","law","1"
"coagulation","natural process","1"
"gas oil","hydrocarbon","1"
"urus","wild ox","1"
"fee simple","fee","1"
"petition","request","1"
"miler","runner","1"
"papio ursinus","baboon","1"
"pharmacist","primary care provider","1"
"armory","armament","1"
"brown thrush","thrasher","1"
"vena vertebralis anterior","vena","1"
"fond regard","fondness","1"
"signification","substance","1"
"flesh wound","wound","1"
"indium","metal","1"
"bronchodilator","medicinal drug","1"
"illustration","demo","1"
"tackle","lineman","1"
"federal judiciary","judicial system","1"
"grant","assignation","1"
"flag stop","railroad terminal","1"
